SMILES,log10_KM
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,0.7075701760979364
O=NO,0.7241172697058746
O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,-0.08213898036903114
O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O,1.6532125137753437
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-0.769551078621726
O=O,-0.376873843850339
O=C(O)/C=C/c1ccc(O)cc1,-0.26760624017703144
O=C(O)/C=C(/CC(=O)O)C(=O)O,-1.516226011890569
O=C(O)CCC(=O)C(=O)O,1.2787536009528289
OO,1.1139433523068367
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1,-2.037860356969059
N,2.2227164711475833
O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O,-0.46852108295774486
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)[C@@H](O)CC1,-3.161150909262745
O=C[C@H](O)CO,0.724275869600789
O=C(O)c1ccc(O)c(O)c1,-1.5228787452803376
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,-0.20760831050174613
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,-2.0
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,-1.3098039199714864
O=C(O)CCC(=O)C(=O)O,-0.12493873660829995
C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,-1.9604093769761874
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)[C@@H](O)CC1,-3.050609993355087
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,-0.8068754016455384
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,-0.8538719643217619
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,0.31806333496276157
O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,-2.473101020095854
C[C@@H](N)C(=O)O,0.389739509560141
N[C@@H](CO)C(=O)O,1.1643528557844371
NC(=O)CNC(=O)[C@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(N)=O)NC(=O)CC[C@H](N)C(=O)O,-1.0132282657337552
Cc1ccc(O)c(O)c1,-1.7296496697070582
C=C(OP(=O)(O)O)C(=O)O,-1.3979400086720375
CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1O,-0.8297382846050426
Oc1ccccc1O,-0.5228787452803376
O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O,-2.3010299956639813
C/C(=C\COP(=O)(O)OP(=O)(O)O)CO,-1.5228787452803376
N=C(N)NCCC[C@H](N)C(=O)O,0.5314789170422551
N[C@@H](CC(=O)O)C(=O)O,-2.3010299956639813
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.42160392686983106
O=P(O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,-0.7520267336381934
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.207608310501746
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,-2.0969100130080562
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)cc1,-2.221848749616356
N[C@@H](C[SeH])C(=O)O,-0.22914798835785583
O=C(CO)COP(=O)(O)O,-0.7670038896078462
O=C(O)[C@H](O)CO,-1.158656760875116
O=C(O)/C=C\CC(=O)C(=O)O,-2.1804560644581312
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,-2.2827155479829004
COc1cc(/C=C/CO)cc(OC)c1O,-2.065501548756432
CN1C2CCC1CC(=O)C2,0.6211762817750351
NCCO,-0.6989700043360187
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,-0.5157001606532142
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](O)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,-0.1366771398795441
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,-2.5850266520291822
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,-3.3565473235138126
O=CC(=O)O,1.2041199826559248
CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,-4.1249387366083
O=P(O)(O)O,-0.2924298239020636
O=C(O)C[C@H](O)C(=O)O,0.6020599913279624
N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(=O)O)C(=O)O,-1.1804560644581312
NCCCCNCCCN,-1.3607375176314913
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,-1.537602002101044
CC(=O)C(=O)O,0.5378190950732742
CC(=O)C(=O)O,-0.3979400086720376
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H]2C[C@H]1OO2,-1.8601209135987635
